ID;Artikel;Artikelbezeichnung;Materialgewicht;Menge;FachName;FACH_BARCODE;Ort;Bauteil;Block;Zeile;Ebene;FachBem;SortFeld;Stationstyp;Preisdivisor;PreisProMenge;WEBelegNr;Stueckgewicht
701428707;01010003;Blechtafel o.f.Verw.;1177,5;25;L9000.7.2.2;520190;Legnica;Verschieberegal;7;2;2;;;REGALFACH;1;0;;0
701470333;01010003;Blechtafel o.f.Verw.;1177,5;100;L9000.15.03.04;520455;Legnica;Verschieberegal;15;3;4;;;REGALFACH;1;0;;0
701464293;01020003;BLECHTAFEL O.F.VERW.(0.88 MM );1989,504;130;L9000.10.02.04;520294;Legnica;Verschieberegal;10;2;4;;;REGALFACH;1;0;;0
701470956;01030033;BLECHTAFEL O.F.VERW. (1.00 MM);1413;90;L9000.19.03.01;520571;Legnica;Verschieberegal;19;3;1;;;REGALFACH;1;0;;0
701464294;01330003;BLECHTAFEL O.F.VERWENDUNG 0,88;1975,688;104;L9000.05.09.06;520748;Legnica;Verschieberegal;5;9;6;;;REGALFACH;1;0;;0
701463622;01410023;BLECHTAFEL VERZ. (0.75 MM);1766,25;150;L9000.19.03.08;520599;Legnica;Verschieberegal;19;3;8;;;REGALFACH;1;0;;0
701466786;01410023;BLECHTAFEL VERZ. (0.75 MM);1778,025;151;L9000.5.2.7;520146;Legnica;Verschieberegal;5;2;7;;;REGALFACH;1;0;;0
701330837;01410024;BLECHTAFEL VERZ. (0.75 MM);1071,64;20;L9000.08.09.05;520740;Legnica;Verschieberegal;8;9;5;;;REGALFACH;1;0;;0
701229999;01670025;TAFELBLECH ELO. VERZ . 1.00MM;1550,4;16;L9000.06.09.07;520760;Legnica;Verschieberegal;6;9;7;;;REGALFACH;1;0;;0
701470102;01670026;TAFELBLECH ELO.VERZ. 1.00MM;647,61;100;L9000.22.02.02;520669;Legnica;Verschieberegal;22;2;2;;;REGALFACH;1;0;;0
701474070;01680004;Blechtafel f. Stanze o. Verw.;1029,116;76;L9000.21.02.08;520662;Legnica;Verschieberegal;21;2;8;;;REGALFACH;1;0;;0
701474074;01680004;Blechtafel f. Stanze o. Verw.;1042,657;77;L9000.15.02.04;520454;Legnica;Verschieberegal;15;2;4;;;REGALFACH;1;0;;0
701470566;01680004E;BLECHTAFEL VERZ.;405,55;100;L9000.09.09.06;520752;Legnica;Verschieberegal;9;9;6;;;REGALFACH;1;0;;0
701441657;01680005E;BLECHTAFEL VERZ.;1936,5;108;L9000.22.03.04;520676;Legnica;Verschieberegal;22;3;4;;;REGALFACH;1;0;;0
701413015;01700044;Blechtafel f. Stanze o. Verw.;1805,5;9;L9000.1.1.7;520019;Legnica;Verschieberegal;1;1;7;;;REGALFACH;1;0;;0
701431098;01700044;Blechtafel f. Stanze o. Verw.;2004,105;13;L9000.15.02.05;520458;Legnica;Verschieberegal;15;2;5;;;REGALFACH;1;0;;0
701400024;01710024;TAFELBLECH VERZ. O.VERW.;1177,5;75;L9000.1.1.4;520010;Legnica;Verschieberegal;1;1;4;;;REGALFACH;1;0;;0
701413385;01710026;TAFELBLECH VERZ. O.VERW.;1782,75;75;L9000.22.02.05;520678;Legnica;Verschieberegal;22;2;5;;;REGALFACH;1;0;;0
701413386;01710026;TAFELBLECH VERZ. O.VERW.;1782,75;40;L9000.22.01.05;520677;Legnica;Verschieberegal;22;1;5;;;REGALFACH;1;0;;0
701468898;01770023;Blechtafel,verz. (0.88 mm);1505,944;85;L9000.17.02.04;520518;Legnica;Verschieberegal;17;2;4;;;REGALFACH;1;0;;0
701413059;01770024;Blechtafel,verz. (0.75 mm);1519,76;101;L9000.7.3.1;520187;Legnica;Verschieberegal;7;3;1;;;STELLPLATZ;1;0;;0
701383757;100200;Rückwand 1040/1050;873,44;34;L9000.14.03.07;520435;Legnica;Verschieberegal;14;3;7;;;REGALFACH;1;0;;0
701471557;100200-11;Rückwand gestanzt;1965,24;180;L9000.14.02.01;520410;Legnica;Verschieberegal;14;2;1;;;REGALFACH;1;0;;0
701457872;100300;RUMPFTEIL RE.U.LI.;1601,176;233;L9000.6.3.7;520179;Legnica;Verschieberegal;6;3;7;;;REGALFACH;1;0;;0
701474094;100400;Rumpfteil re.u.li.;1762,18;105;L9000.18.03.04;520551;Legnica;Verschieberegal;18;4;3;;;REGALFACH;1;0;;0
701465746;100700-11;Kopfteil gestanzt;714,44;212;L9000.18.01.01;520537;Legnica;Verschieberegal;18;1;1;;;REGALFACH;1;0;;0
701470982;102440-11;RUMPFT. LI. GESTANZT 8170-8670;130,2;21;L9000.6.2.8;520182;Legnica;Verschieberegal;6;2;8;;;REGALFACH;1;0;;0
701463001;102450-11;RUMPFT. RE. GESTANZT 8170-8670;1240;150;L9000.6.3.5;520171;Legnica;Verschieberegal;6;3;5;;;REGALFACH;1;0;;0
701464217;102470-111;RÜCKWAND BEARBEITET;52,41;10;L9000.8.2.2;520222;Legnica;Verschieberegal;8;2;2;;;REGALFACH;1;0;;0
701467369;102490-11;EINLEGEBODEN RECHTS GESTANZT;174;150;WE_TB20;520902;Legnica;Verschieberegal;2;2;2;;;STELLPLATZ_P1;1;0;;0
701469332;102490-11;EINLEGEBODEN RECHTS GESTANZT;116;100;WE_TB20;520902;Legnica;Verschieberegal;2;2;2;;;STELLPLATZ_P1;1;0;;0
701417867;102570-111;RÜCKWAND BEARBEITET;535,092;31;L9000.22.01.02;520668;Legnica;Verschieberegal;22;1;2;;;REGALFACH;1;0;;0
701458152;102570-111;RÜCKWAND BEARBEITET;136;20;L9000.11.02.01;520314;Legnica;Verschieberegal;11;2;1;;;REGALFACH;1;0;;0
701466772;102590-11;EINLEGEBODEN LINKS GESTANZT;224;200;WE_TB20;520902;Legnica;Verschieberegal;2;2;2;;;STELLPLATZ_P1;1;0;;0
701459312;102660-111;RÜCKWAND BEARBEITET;330,498;21;L9000.22.01.02;520668;Legnica;Verschieberegal;22;1;2;;;REGALFACH;1;0;;0
701468831;102660-111;RÜCKWAND BEARBEITET;472,14;30;L9000.22.02.03;520672;Legnica;Verschieberegal;22;2;3;;;REGALFACH;1;0;;0
701473484;102710;RÜCKWAND;944,28;60;L9000.4.2.5;520106;Legnica;Verschieberegal;4;2;5;;;REGALFACH;1;0;;0
701473496;102710-11;RÜCKWAND gestanzt;330,498;21;L9000.1.3.5;520015;Legnica;Verschieberegal;1;3;5;;;REGALFACH;1;0;;0
701436085;102710-111;RÜCKWAND BEARBEITET;157,38;18;L9000.22.01.03;520671;Legnica;Verschieberegal;22;1;3;;;REGALFACH;1;0;;0
