ID;Artikel;Artikelbezeichnung;Materialgewicht;Menge;FachName;FACH_BARCODE;Ort;Bauteil;Block;Zeile;Ebene;FachBem;SortFeld;Stationstyp;Preisdivisor;PreisProMenge;WEBelegNr;Stueckgewicht
701452149;Z05518101275FBL01;Rückwand H1850 B1300;1074,5;100;L9000.08.09.06;520751;Legnica;Verschieberegal;8;9;6;;;REGALFACH;1;0;;0
701429416;Z05518100975GVZ01;;693,329;88;L9000.6.3.2;520159;Legnica;Verschieberegal;6;3;2;;;REGALFACH;1;0;;0
701438994;Z05518100975FBL01;Rückwand H1850 B1000;1523,8;200;L9000.16.02.05;520490;Legnica;Verschieberegal;16;5;5;;;REGALFACH;1;0;;0
701441660;Z05518100875GVZ01;;683,8;90;L9000.20.03.03;520611;Legnica;Verschieberegal;20;3;3;;;REGALFACH;1;0;;0
701428166;Z05518100775GVZ01;;429,976;71;L9000.12.03.05;520363;Legnica;Verschieberegal;12;3;5;;;REGALFACH;1;0;;0
701438981;Z05518100575GVZ01;;916,572;204;L9000.12.03.04;520359;Legnica;Verschieberegal;12;3;4;;;REGALFACH;1;0;;0
701427552;Z05518100475GVZ01;;564,224;152;L9000.7.3.4;520199;Legnica;Verschieberegal;7;3;4;;;REGALFACH;1;0;;0
701438992;Z05518100475FBL01;Rückwand H1850 B500;746,112;201;L9000.5.2.2;520126;Legnica;Verschieberegal;5;2;2;;;REGALFACH;1;0;;0
701449172;Z05518100375GVZ01;;263,79;90;L9000.05.09.04;520726;Legnica;Verschieberegal;5;9;4;;;REGALFACH;1;0;;0
701438977;Z05518100275GVZ01;;219,198;102;L9000.5.2.2;520126;Legnica;Verschieberegal;5;2;2;;;REGALFACH;1;0;;0
701432230;Z05516601175GVZ01;;1271,571;80;L9000.6.4.1;520156;Legnica;Verschieberegal;6;4;1;;;STELLPLATZ;1;0;;0
701442681;Z05516601175FBL01;Rückwand H1700 B1200;1229,466;146;L9000.14.01.08;520437;Legnica;Verschieberegal;14;1;8;;;REGALFACH;1;0;;0
701367654;Z05516600875FBL01;Rückwand H1700 B900;1254,2;163;L9000.09.09.05;520741;Legnica;Verschieberegal;9;9;5;;;REGALFACH;1;0;;0
701427548;Z05516600775GVZ01;;555,5;94;L9000.15.02.06;520462;Legnica;Verschieberegal;15;2;6;;;REGALFACH;1;0;;0
701447259;Z05516600775FBL01;Rückwand H1700 B800;833,25;150;L9000.12.03.05;520363;Legnica;Verschieberegal;12;3;5;;;REGALFACH;1;0;;0
701445262;Z05516600575FBL01;Rückwand H1700 B600;247,26;64;L9000.20.03.02;520607;Legnica;Verschieberegal;20;3;2;;;REGALFACH;1;0;;0
701421794;Z05516600375GVZ01;;362,88;103;L9000.10.03.03;520291;Legnica;Verschieberegal;10;3;3;;;REGALFACH;1;0;;0
701447258;Z05514901175FBL01;Rückwand H1530 B1200;771,018;102;L9000.20.04.08;520632;Legnica;Verschieberegal;20;4;8;;;REGALFACH;1;0;;0
701438989;Z05514900875FBL01;Rückwand H1530 B900;579,787;101;L9000.11.03.02;520319;Legnica;Verschieberegal;11;3;2;;;REGALFACH;1;0;;0
701442565;TW18500000500A004;Trennwand VK H1850T500;491,4;79;L9000.4.2.3;520098;Legnica;Verschieberegal;4;2;3;;;REGALFACH;1;0;;0
701452176;TW18500000500A001;Trennwand H1850 T500;244,86;60;L9000.19.03.01;520571;Legnica;Verschieberegal;19;3;1;;;REGALFACH;1;0;;0
701442564;TW17000000500A001;Trennwand H1700 T500;748,6;200;L9000.2.3.2;520031;Legnica;Verschieberegal;2;3;2;;;REGALFACH;1;0;;0
701441919;TW17000000500A001;Trennwand H1700 T500;748,6;73;L9000.2.3.2;520031;Legnica;Verschieberegal;2;3;2;;;REGALFACH;1;0;;0
701430047;TW17000000500A001;Trennwand H1700 T500;748,6;80;L9000.2.3.2;520031;Legnica;Verschieberegal;2;3;2;;;REGALFACH;1;0;;0
701441865;TW15300000500A001;Trennwand H1530 T500;232,8;100;L9000.15.03.01;520443;Legnica;Verschieberegal;15;3;1;;;REGALFACH;1;0;;0
701448980;TV00001200000A011;Strebe 2 Banklatte Kst. B1200;15,2;45;L9000.20.04.01;520604;Legnica;Verschieberegal;20;4;1;;;REGALFACH;1;0;;0
