ID;Artikel;Artikelbezeichnung;Materialgewicht;Menge;FachName;FACH_BARCODE;Ort;Bauteil;Block;Zeile;Ebene;FachBem;SortFeld;Stationstyp;Preisdivisor;PreisProMenge;WEBelegNr;Stueckgewicht
701457882;Z05519100905FBL01;HC 260 LA gem. DIN EN 10268;1799,672;196;L9000.11.03.06;520335;Legnica;Verschieberegal;11;3;6;;;REGALFACH;1;0;;0
701468981;Z05518101175FBL01;HC 260 LA gem. DIN EN 10268 ;1836,4;200;L9000.10.02.08;520310;Legnica;Verschieberegal;10;2;8;;;REGALFACH;1;0;;0
701441660;Z05518100875GVZ01;Rückwand H1850 B900 vz.;683,8;65;L9000.17.03.02;520511;Legnica;Verschieberegal;17;3;2;;;REGALFACH;1;0;;0
701460573;Z05518100775GVZ01;HC 260 LA+ZE 25/25 gem.DINverz;920,512;152;L9000.5.2.8;520150;Legnica;Verschieberegal;5;2;8;;;REGALFACH;1;0;;0
701466780;Z05518100775FBL01;HC 260 LA gem. DIN EN 10268 ;1865,248;308;L9000.9.2.7;520274;Legnica;Verschieberegal;9;2;7;;;REGALFACH;1;0;;0
701438981;Z05518100575GVZ01;Rückwand H1850 B600 vz.;916,572;204;L9000.6.2.5;520170;Legnica;Verschieberegal;6;2;5;;;REGALFACH;1;0;;0
701464635;Z05518100575FBL01;HC 260 LA gem. DIN EN 10268 ;1236,3;300;L9000.06.09.01;520694;Legnica;Verschieberegal;6;9;1;;;REGALFACH;1;0;;0
701464633;Z05518100575FBL01;HC 260 LA gem. DIN EN 10268 ;1347,9;300;L9000.17.01.08;520533;Legnica;Verschieberegal;17;1;8;;;REGALFACH;1;0;;0
701427552;Z05518100475GVZ01;Rückwand H1850 B500 vz.;564,224;152;L9000.7.3.4;520199;Legnica;Verschieberegal;7;3;4;;;REGALFACH;1;0;;0
701449172;Z05518100375GVZ01;Rückwand H1850 B400 vz.;263,79;90;L9000.05.09.04;520726;Legnica;Verschieberegal;5;9;4;;;REGALFACH;1;0;;0
701438977;Z05518100275GVZ01;HC 260 LA+ZE 25/25 gem.DINverz;219,198;102;L9000.14.03.01;520411;Legnica;Verschieberegal;14;3;1;;;REGALFACH;1;0;;0
701473158;Z05516601175GVZ01;Rückwand H1700 B1200 vz.;421,05;50;L9000.11.01.05;520329;Legnica;Verschieberegal;11;1;5;;;REGALFACH;1;0;;0
701463617;Z05516600875GVZ01;;627,1;100;L9000.14.02.07;520434;Legnica;Verschieberegal;14;2;7;;;REGALFACH;1;0;;0
701367654;Z05516600875FBL01;HC 260 LA gem. DIN EN 10268;1254,2;150;L9000.3.2.3;520066;Legnica;Verschieberegal;3;2;3;;;REGALFACH;1;0;;0
701427548;Z05516600775GVZ01;Rückwand H1700 B800 vz.;555,5;94;L9000.15.03.03;520451;Legnica;Verschieberegal;15;3;3;;;REGALFACH;1;0;;0
